Detector,Dataset,STATS,SIZE,IAT,SAMP_NUM
OCSVM,UNB(PC2),0.54,0.72,0.77,0.92
OCSVM,UNB(PC3),0.67,0.76,0.79,0.93
OCSVM,UNB(PC5),0.60,0.74,0.70,0.87
OCSVM,SCam,0.97,0.65,0.36,0.69
OCSVM,GHom,0.31,0.92,0.16,0.99
IF,UNB(PC2),0.71,0.72,0.61,0.71
IF,UNB(PC3),0.77,0.77,0.65,0.81
IF,UNB(PC5),0.64,0.65,0.61,0.81
IF,SCam,0.83,0.60,0.85,0.66
IF,GHom,0.62,0.94,0.51,0.97
AE,UNB(PC2),0.67,0.74,0.45,0.92
AE,UNB(PC3),0.82,0.86,0.34,0.91
AE,UNB(PC5),0.63,0.74,0.37,0.94
AE,SCam,0.90,0.61,0.82,0.62
AE,GHom,0.45,0.76,0.08,0.99
KDE,UNB(PC2),0.63,0.74,0.75,0.92
KDE,UNB(PC3),0.68,0.82,0.72,0.91
KDE,UNB(PC5),0.45,0.79,0.66,0.93
KDE,SCam,0.83,0.61,0.81,0.61
KDE,GHom,0.14,0.87,0.06,0.99
GMM,UNB(PC2),0.65,0.73,0.51,0.90
GMM,UNB(PC3),0.67,0.81,0.48,0.95
GMM,UNB(PC5),0.63,0.74,0.63,0.93
GMM,SCam,0.38,0.60,0.30,0.65
GMM,GHom,0.16,0.72,0.92,0.99
PCA,UNB(PC2),0.64,0.72,0.43,0.92
PCA,UNB(PC3),0.65,0.80,0.28,0.92
PCA,UNB(PC5),0.50,0.74,0.36,0.93
PCA,SCam,0.38,0.60,0.22,0.58
PCA,GHom,0.17,0.38,0.06,0.99
