Detector,Dataset,STATS,SIZE,IAT,SAMP_NUM
OCSVM,UNB(PC1),0.64,0.80,0.76,0.95
OCSVM,UNB(PC2),0.66,0.80,0.79,0.92
OCSVM,UNB(PC3),0.69,0.87,0.80,0.93
OCSVM,UNB(PC4),0.66,0.81,0.77,0.94
OCSVM,UNB(PC5),0.61,0.76,0.77,0.92
OCSVM,CTU,0.64,0.96,0.88,0.94
OCSVM,MAWI,0.94,0.80,0.50,0.60
OCSVM,TV&RT,0.99,0.99,0.85,0.85
OCSVM,SFrig,0.93,0.90,0.88,0.85
OCSVM,BSTch,0.99,0.99,0.99,1.00
OCSVM,SCam,0.97,0.67,0.36,0.69
OCSVM,GHom,0.38,0.95,0.85,0.99
IF,UNB(PC1),0.70,0.75,0.63,0.88
IF,UNB(PC2),0.74,0.72,0.65,0.72
IF,UNB(PC3),0.78,0.77,0.65,0.82
IF,UNB(PC4),0.70,0.70,0.59,0.82
IF,UNB(PC5),0.68,0.69,0.62,0.81
IF,CTU,0.89,0.93,0.84,0.85
IF,MAWI,0.79,0.74,0.44,0.59
IF,TV&RT,0.96,0.95,0.76,0.82
IF,SFrig,0.93,0.85,0.81,0.82
IF,BSTch,0.99,0.98,0.50,0.95
IF,SCam,0.83,0.60,0.85,0.66
IF,GHom,0.85,0.96,0.58,0.97
AE,UNB(PC1),0.62,0.78,0.39,0.94
AE,UNB(PC2),0.75,0.75,0.44,0.92
AE,UNB(PC3),0.72,0.86,0.30,0.91
AE,UNB(PC4),0.53,0.80,0.32,0.93
AE,UNB(PC5),0.49,0.76,0.37,0.94
AE,CTU,0.29,0.78,0.79,0.78
AE,MAWI,0.73,0.69,0.40,0.60
AE,TV&RT,0.91,0.98,0.89,0.84
AE,SFrig,0.70,0.78,0.67,0.82
AE,BSTch,0.99,0.99,0.97,0.99
AE,SCam,0.90,0.61,0.82,0.62
AE,GHom,0.40,0.69,0.08,0.99
KDE,UNB(PC1),0.50,0.81,0.70,0.93
KDE,UNB(PC2),0.63,0.82,0.74,0.92
KDE,UNB(PC3),0.68,0.87,0.73,0.91
KDE,UNB(PC4),0.53,0.82,0.67,0.93
KDE,UNB(PC5),0.57,0.79,0.73,0.93
KDE,CTU,0.80,0.96,0.87,0.96
KDE,MAWI,0.93,0.70,0.50,0.59
KDE,TV&RT,0.99,0.99,0.85,0.83
KDE,SFrig,0.92,0.85,0.86,0.82
KDE,BSTch,0.98,0.98,0.97,1.00
KDE,SCam,0.83,0.61,0.81,0.60
KDE,GHom,0.61,0.95,0.95,0.99
GMM,UNB(PC1),0.65,0.77,0.65,0.95
GMM,UNB(PC2),0.77,0.76,0.66,0.97
GMM,UNB(PC3),0.80,0.84,0.67,0.97
GMM,UNB(PC4),0.86,0.80,0.65,0.94
GMM,UNB(PC5),0.62,0.78,0.65,0.97
GMM,CTU,0.74,0.76,0.92,0.96
GMM,MAWI,0.87,0.68,0.48,0.62
GMM,TV&RT,0.98,0.99,0.86,0.88
GMM,SFrig,0.93,0.90,0.81,0.88
GMM,BSTch,1.00,0.99,0.99,1.00
GMM,SCam,0.99,0.62,0.99,0.66
GMM,GHom,0.98,0.97,0.97,0.99
PCA,UNB(PC1),0.74,0.81,0.37,0.94
PCA,UNB(PC2),0.71,0.75,0.46,0.92
PCA,UNB(PC3),0.77,0.83,0.31,0.91
PCA,UNB(PC4),0.75,0.80,0.36,0.96
PCA,UNB(PC5),0.70,0.79,0.41,0.93
PCA,CTU,0.79,0.80,0.80,0.82
PCA,MAWI,0.77,0.65,0.43,0.64
PCA,TV&RT,0.87,0.89,0.90,0.79
PCA,SFrig,0.73,0.84,0.68,0.85
PCA,BSTch,0.98,0.70,0.96,1.00
PCA,SCam,0.83,0.57,0.80,0.58
PCA,GHom,0.41,0.38,0.06,0.99
