Detector,Dataset,STATS,SIZE,IAT,SAMP_NUM
OCSVM,UNB(PC1),0.64,0.77,0.70,0.95
OCSVM,UNB(PC2),0.54,0.72,0.77,0.92
OCSVM,UNB(PC3),0.67,0.76,0.79,0.93
OCSVM,UNB(PC4),0.61,0.77,0.69,0.93
OCSVM,UNB(PC5),0.60,0.74,0.70,0.87
OCSVM,CTU,0.44,0.85,0.80,0.87
OCSVM,MAWI,0.84,0.73,0.41,0.59
OCSVM,TV&RT,0.98,0.99,0.82,0.84
OCSVM,SFrig,0.85,0.82,0.88,0.84
OCSVM,BSTch,0.98,0.93,0.98,1.00
OCSVM,SCam,0.97,0.65,0.36,0.69
OCSVM,GHom,0.31,0.92,0.16,0.99
IF,UNB(PC1),0.67,0.72,0.58,0.79
IF,UNB(PC2),0.71,0.72,0.61,0.71
IF,UNB(PC3),0.77,0.77,0.65,0.81
IF,UNB(PC4),0.68,0.70,0.53,0.79
IF,UNB(PC5),0.64,0.65,0.61,0.81
IF,CTU,0.88,0.92,0.83,0.84
IF,MAWI,0.79,0.73,0.40,0.57
IF,TV&RT,0.96,0.95,0.76,0.82
IF,SFrig,0.93,0.84,0.81,0.82
IF,BSTch,0.99,0.94,0.42,0.92
IF,SCam,0.83,0.60,0.85,0.66
IF,GHom,0.62,0.94,0.51,0.97
AE,UNB(PC1),0.63,0.79,0.34,0.94
AE,UNB(PC2),0.75,0.74,0.48,0.92
AE,UNB(PC3),0.80,0.83,0.33,0.92
AE,UNB(PC4),0.59,0.81,0.31,0.93
AE,UNB(PC5),0.63,0.78,0.35,0.93
AE,CTU,0.30,0.78,0.81,0.79
AE,MAWI,0.72,0.72,0.43,0.58
AE,TV&RT,0.93,0.96,0.86,0.83
AE,SFrig,0.72,0.80,0.73,0.80
AE,BSTch,0.98,0.98,0.96,1.00
AE,SCam,0.90,0.61,0.82,0.62
AE,GHom,0.49,0.76,0.06,0.99
KDE,UNB(PC1),0.48,0.79,0.67,0.93
KDE,UNB(PC2),0.63,0.74,0.75,0.92
KDE,UNB(PC3),0.68,0.82,0.72,0.91
KDE,UNB(PC4),0.48,0.81,0.66,0.93
KDE,UNB(PC5),0.45,0.79,0.66,0.93
KDE,CTU,0.80,0.78,0.79,0.89
KDE,MAWI,0.78,0.67,0.43,0.58
KDE,TV&RT,0.98,0.99,0.81,0.76
KDE,SFrig,0.86,0.79,0.86,0.81
KDE,BSTch,0.98,0.82,0.96,1.00
KDE,SCam,0.83,0.61,0.81,0.61
KDE,GHom,0.14,0.87,0.06,0.99
GMM,UNB(PC1),0.55,0.75,0.63,0.98
GMM,UNB(PC2),0.65,0.73,0.51,0.90
GMM,UNB(PC3),0.67,0.81,0.48,0.95
GMM,UNB(PC4),0.56,0.79,0.66,0.90
GMM,UNB(PC5),0.63,0.74,0.63,0.93
GMM,CTU,0.74,0.76,0.87,0.94
GMM,MAWI,0.76,0.65,0.47,0.57
GMM,TV&RT,0.85,0.89,0.54,0.77
GMM,SFrig,0.72,0.78,0.81,0.83
GMM,BSTch,0.98,0.96,0.96,1.00
GMM,SCam,0.38,0.60,0.30,0.65
GMM,GHom,0.16,0.72,0.92,0.99
PCA,UNB(PC1),0.53,0.76,0.35,0.94
PCA,UNB(PC2),0.64,0.72,0.43,0.92
PCA,UNB(PC3),0.65,0.80,0.28,0.92
PCA,UNB(PC4),0.54,0.78,0.33,0.93
PCA,UNB(PC5),0.50,0.74,0.36,0.93
PCA,CTU,0.74,0.76,0.78,0.78
PCA,MAWI,0.76,0.65,0.42,0.60
PCA,TV&RT,0.85,0.90,0.90,0.77
PCA,SFrig,0.71,0.78,0.65,0.81
PCA,BSTch,0.98,0.65,0.96,1.00
PCA,SCam,0.38,0.60,0.22,0.58
PCA,GHom,0.17,0.38,0.06,0.99
